City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
341,Santa Rosa,PH,77.0,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
343,Luz,BR,76.42,light rain,-19.8014,-45.6856,Hotel Turista
345,Marsabit,KE,73.63,scattered clouds,2.3284,37.9899,Chicho Hotel
346,Damara,CF,84.2,few clouds,4.9608,18.7035,
347,Beaufort,MY,80.6,few clouds,5.3473,115.7455,The Gem Hotel Beaufort
348,Aketi,CD,71.55,overcast clouds,2.7388,23.7833,
349,Bowen,AU,77.0,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
357,Cilegon,ID,78.8,light rain,-6.0174,106.0538,Forbis Hotel
361,Yokadouma,CM,73.89,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
363,Madimba,TZ,80.6,scattered clouds,-10.4,40.3333,
366,Caravelas,BR,78.06,heavy intensity rain,-17.7125,-39.2481,Pousada dos Navegantes
368,Redlands,US,73.0,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
369,Sao Lourenco Do Sul,BR,78.8,few clouds,-31.3653,-51.9783,Hotel Pousada Verde Água
376,Huarmey,PE,76.75,overcast clouds,-10.0681,-78.1522,Hotel Miramar
388,Hobyo,SO,78.1,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
389,Harper,LR,79.74,overcast clouds,4.375,-7.7169,Screensaver
390,Bambanglipuro,ID,76.51,light rain,-7.95,110.2833,Puri Brata
391,Yarada,IN,73.4,mist,17.65,83.2667,Jeevan
396,Hun,LY,73.87,overcast clouds,29.1268,15.9477,Alrwasi Hotel
405,Castro,BR,75.11,clear sky,-24.7911,-50.0119,CHACARA BAILLY
406,Rocha,UY,73.06,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
407,Basco,PH,74.03,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
409,Nuevo Casas Grandes,MX,69.01,clear sky,30.4167,-107.9167,Hotel Villa Colonial
416,Iquique,CL,77.0,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
418,Bac Lieu,VN,75.7,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
421,Aripuana,BR,76.05,overcast clouds,-9.1667,-60.6333,
425,Castanos,MX,71.06,broken clouds,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
427,Mahajanga,MG,78.8,moderate rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
