City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Anloga,GH,2021-02-07 14:18:41,5.7947,0.8973,91.4,62,20,12.66
68,Cherskiy,RU,2021-02-07 14:18:41,68.75,161.3,-2.15,75,76,2.46
69,Fortuna,US,2021-02-07 14:18:41,40.5982,-124.1573,45.0,93,90,5.01
70,Lorengau,PG,2021-02-07 14:18:41,-2.0226,147.2712,82.0,81,95,9.17
71,Isangel,VU,2021-02-07 14:18:41,-19.55,169.2667,77.79,78,9,3.4
72,Rakiv Lis,UA,2021-02-07 14:18:41,51.6217,24.9243,14.49,89,100,11.95
73,Inongo,CD,2021-02-07 14:18:41,-1.95,18.2667,82.53,64,97,3.67
74,Mar Del Plata,AR,2021-02-07 14:14:51,-38.0023,-57.5575,64.99,77,90,11.5
75,Dunedin,NZ,2021-02-07 14:18:42,-45.8742,170.5036,57.99,92,52,7.0
76,Dagua,CO,2021-02-07 14:16:38,3.6569,-76.6886,78.8,69,75,2.3
77,Havoysund,NO,2021-02-07 14:18:42,70.9963,24.6622,23.0,80,75,19.57
78,Chiredzi,ZW,2021-02-07 14:18:42,-21.05,31.6667,86.99,54,63,6.55
79,Victoria,HK,2021-02-07 14:18:42,22.2855,114.1577,66.99,81,0,10.18
80,Kathmandu,NP,2021-02-07 14:15:53,27.7167,85.3167,53.6,58,20,3.44
81,Banda Aceh,ID,2021-02-07 14:18:42,5.5577,95.3222,80.28,81,38,6.64
82,Saint George,US,2021-02-07 14:18:43,37.1041,-113.5841,30.2,59,1,3.44
83,Murmashi,RU,2021-02-07 14:18:43,68.8154,32.8115,17.6,86,75,4.47
84,Nago,JP,2021-02-07 14:18:09,26.5881,127.9761,64.4,59,1,8.01
85,Katsuura,JP,2021-02-07 14:14:15,35.1333,140.3,48.0,46,35,4.0
86,Haines Junction,CA,2021-02-07 14:18:43,60.7522,-137.5108,-27.4,68,50,1.14
87,Tselinnoye,RU,2021-02-07 14:18:43,53.0833,85.6667,26.24,96,56,11.45
